"","index","value"
"1",1,"New York"
"2",2,"New Jersey"
"3",3,"California"
"4",4,"Illinois"
"5",5,"Pennsylvania"
"6",6,"Massachusetts"
"7",7,"Virginia"
"8",8,"Florida"
"9",9,"Maryland"
"10",10,"Texas"
"11",11,"Colorado"
"12",12,"Minnesota"
"13",13,"Washington"
"14",14,"Wisconsin"
"15",15,"Arizona"
"16",16,"Michigan"
"17",17,"Nevada"
"18",18,"Ohio"
"19",19,"Georgia"
"20",20,"Missouri"
"21",21,"Hawaii"
"22",22,"Oregon"
"23",23,"Indiana"
"24",24,"Kentucky"
"25",25,"Rhode Island"
"26",26,"Nebraska"
"27",27,"North Carolina"
"28",28,"Connecticut"
"29",29,"Tennessee"
"30",30,"Louisiana"
"31",31,"Utah"
"32",32,"Oklahoma"
"33",33,"Kansas"
"34",34,"New Mexico"
"35",35,"South Carolina"
"36",36,"Delaware"
"37",37,"New Hampshire"
"38",38,"Iowa"
"39",39,"Alabama"
"40",40,"Arkansas"
"41",41,"Idaho"
"42",42,"Maine"
"43",43,"Mississippi"
"44",44,"West Virginia"
"45",45,"North Dakota"
"46",46,"Vermont"
"47",47,"South Dakota"
"48",48,"Montana"
"49",49,"Alaska"
"50",50,"Wyoming"
